역명,위도,경도,자치구명
보평,37.258965,127.218457,용인시 처인구
둔전,37.267051,127.21364,용인시 처인구
전대.에버랜드,37.285342,127.219561,용인시 처인구
발곡,37.727048,127.052803,의정부시
범골,37.728755,127.04353,의정부시
경전철의정부,37.737202,127.043257,의정부시
의정부시청,37.739256,127.034781,의정부시
흥선,37.743302,127.037023,의정부시
의정부중앙,37.743676,127.049565,의정부시
동오,37.745271,127.056947,의정부시
새말,37.748885,127.06362,의정부시
경기도청북부청사,37.75059,127.071495,의정부시
효자,37.754025,127.076902,의정부시
곤제,37.750471,127.083715,의정부시
어룡,37.742802,127.085035,의정부시
송산,37.737279,127.087159,의정부시
탑석,37.733579,127.088704,의정부시
동탄,37.20034,127.09569,화성시
